metabolite_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040
METAB_0000,4.0,698.5751417962988,6.0,698.5751417962988,697.5751417962988,7.0,703.5751417962988,696.5751417962988,6.0,2.0,2.0,2.0,12.0,7.0,705.5751417962988,9.0,6.0,10.0,3.0,702.5751417962988,15.0,702.5751417962988,2.0,699.5751417962988,8.0,11.0,702.5751417962988,709.5751417962988,699.5751417962988,701.5751417962988,701.5751417962988,7.0,698.5751417962988,701.5751417962988,1.0,699.5751417962988,12.0,704.5751417962988,698.5751417962988,702.5751417962988
METAB_0001,3.0,322.2479276803634,1.0,320.2479276803634,322.2479276803634,1.0,328.2479276803634,319.2479276803634,1.0,1.0,5.0,5.0,1.0,5.0,319.2479276803634,1.0,4.0,2.0,0.0,323.2479276803634,5.0,321.2479276803634,3.0,321.2479276803634,6.0,5.0,323.2479276803634,319.2479276803634,324.2479276803634,323.2479276803634,321.2479276803634,2.0,319.2479276803634,322.2479276803634,8.0,320.2479276803634,1.0,321.2479276803634,319.2479276803634,321.2479276803634
METAB_0002,8.0,1102.6568163621516,7.0,1091.6568163621516,1093.6568163621516,11.0,1093.6568163621516,1101.6568163621516,12.0,13.0,11.0,17.0,13.0,16.0,1091.6568163621516,11.0,17.0,9.0,18.0,1095.6568163621516,7.0,1103.6568163621516,7.0,1096.6568163621516,27.0,22.0,1100.6568163621516,1098.6568163621516,1104.6568163621516,1094.6568163621516,1097.6568163621516,6.0,1099.6568163621516,1095.6568163621516,11.0,1096.6568163621516,15.0,1103.6568163621516,1101.6568163621516,1112.6568163621516
METAB_0003,2.0,853.0140657102739,9.0,850.0140657102739,857.0140657102739,5.0,847.0140657102739,845.0140657102739,6.0,6.0,13.0,15.0,10.0,8.0,847.0140657102739,7.0,6.0,13.0,9.0,846.0140657102739,7.0,849.0140657102739,16.0,845.0140657102739,8.0,9.0,853.0140657102739,851.0140657102739,855.0140657102739,847.0140657102739,852.0140657102739,4.0,867.0140657102739,863.0140657102739,16.0,846.0140657102739,19.0,865.0140657102739,851.0140657102739,849.0140657102739
METAB_0004,19.0,1208.0093147248922,13.0,1197.0093147248922,1205.0093147248922,13.0,1198.0093147248922,1197.0093147248922,24.0,14.0,18.0,8.0,9.0,12.0,1202.0093147248922,8.0,28.0,11.0,10.0,1196.0093147248922,2.0,1195.0093147248922,10.0,1208.0093147248922,14.0,13.0,1195.0093147248922,1198.0093147248922,1199.0093147248922,1199.0093147248922,1198.0093147248922,14.0,1197.0093147248922,1195.0093147248922,19.0,1203.0093147248922,16.0,1208.0093147248922,1201.0093147248922,1200.0093147248922
METAB_0005,8.0,626.4058398676001,3.0,623.4058398676001,628.4058398676001,9.0,629.4058398676001,624.4058398676001,7.0,5.0,7.0,3.0,4.0,3.0,627.4058398676001,9.0,5.0,7.0,3.0,626.4058398676001,7.0,626.4058398676001,3.0,628.4058398676001,2.0,6.0,627.4058398676001,630.4058398676001,628.4058398676001,637.4058398676001,622.4058398676001,4.0,628.4058398676001,626.4058398676001,7.0,626.4058398676001,3.0,629.4058398676001,621.4058398676001,629.4058398676001
METAB_0006,5.0,529.6725445435269,6.0,534.6725445435269,528.6725445435269,10.0,534.6725445435269,527.6725445435269,8.0,2.0,1.0,7.0,2.0,4.0,531.6725445435269,9.0,30.0,10.0,10.0,527.6725445435269,15.0,528.6725445435269,3.0,525.6725445435269,13.0,5.0,532.6725445435269,524.6725445435269,531.6725445435269,529.6725445435269,530.6725445435269,8.0,531.6725445435269,525.6725445435269,3.0,528.6725445435269,2.0,529.6725445435269,526.6725445435269,528.6725445435269
METAB_0007,7.0,642.0927230796682,9.0,644.0927230796682,646.0927230796682,14.0,652.0927230796682,642.0927230796682,13.0,16.0,5.0,14.0,5.0,7.0,647.0927230796682,4.0,7.0,8.0,5.0,640.0927230796682,10.0,644.0927230796682,12.0,643.0927230796682,5.0,5.0,650.0927230796682,649.0927230796682,646.0927230796682,642.0927230796682,648.0927230796682,2.0,643.0927230796682,645.0927230796682,4.0,652.0927230796682,7.0,645.0927230796682,649.0927230796682,648.0927230796682
METAB_0008,11.0,318.8913560691644,13.0,318.8913560691644,317.8913560691644,4.0,320.8913560691644,317.8913560691644,2.0,4.0,1.0,1.0,2.0,4.0,320.8913560691644,3.0,6.0,2.0,2.0,325.8913560691644,4.0,318.8913560691644,0.0,327.8913560691644,4.0,4.0,322.8913560691644,326.8913560691644,322.8913560691644,323.8913560691644,319.8913560691644,1.0,319.8913560691644,319.8913560691644,5.0,320.8913560691644,1.0,321.8913560691644,324.8913560691644,321.8913560691644
METAB_0009,5.0,504.969629906944,3.0,508.969629906944,507.969629906944,5.0,511.969629906944,503.969629906944,5.0,9.0,2.0,4.0,4.0,15.0,513.969629906944,12.0,6.0,9.0,5.0,504.969629906944,1.0,504.969629906944,7.0,508.969629906944,9.0,4.0,508.969629906944,506.969629906944,511.969629906944,506.969629906944,503.969629906944,8.0,506.969629906944,513.969629906944,8.0,506.969629906944,0.0,501.969629906944,502.969629906944,502.969629906944
METAB_0010,2.0,399.10637882879564,3.0,400.10637882879564,400.10637882879564,9.0,398.10637882879564,401.10637882879564,14.0,6.0,7.0,7.0,4.0,4.0,405.10637882879564,2.0,5.0,7.0,4.0,401.10637882879564,7.0,402.10637882879564,9.0,400.10637882879564,7.0,7.0,399.10637882879564,399.10637882879564,405.10637882879564,407.10637882879564,408.10637882879564,2.0,402.10637882879564,401.10637882879564,1.0,398.10637882879564,7.0,399.10637882879564,403.10637882879564,405.10637882879564
METAB_0011,21.0,778.8006508638135,5.0,773.8006508638135,779.8006508638135,9.0,771.8006508638135,775.8006508638135,5.0,3.0,6.0,8.0,8.0,4.0,787.8006508638135,9.0,11.0,6.0,9.0,776.8006508638135,5.0,781.8006508638135,8.0,780.8006508638135,8.0,10.0,772.8006508638135,773.8006508638135,780.8006508638135,772.8006508638135,775.8006508638135,10.0,777.8006508638135,777.8006508638135,7.0,771.8006508638135,7.0,778.8006508638135,778.8006508638135,778.8006508638135
METAB_0012,23.0,983.1393385581766,4.0,985.1393385581766,976.1393385581766,8.0,983.1393385581766,992.1393385581766,12.0,9.0,13.0,12.0,18.0,7.0,978.1393385581766,5.0,14.0,15.0,8.0,990.1393385581766,8.0,982.1393385581766,12.0,985.1393385581766,10.0,10.0,987.1393385581766,982.1393385581766,980.1393385581766,984.1393385581766,988.1393385581766,7.0,980.1393385581766,986.1393385581766,10.0,988.1393385581766,11.0,983.1393385581766,984.1393385581766,987.1393385581766
METAB_0013,5.0,774.307259005081,10.0,769.307259005081,773.307259005081,9.0,769.307259005081,774.307259005081,11.0,4.0,11.0,15.0,10.0,7.0,771.307259005081,9.0,7.0,9.0,11.0,772.307259005081,6.0,774.307259005081,6.0,766.307259005081,11.0,7.0,769.307259005081,770.307259005081,767.307259005081,771.307259005081,776.307259005081,8.0,774.307259005081,775.307259005081,5.0,771.307259005081,4.0,772.307259005081,778.307259005081,769.307259005081
METAB_0014,15.0,938.7897710779565,8.0,941.7897710779565,946.7897710779565,12.0,946.7897710779565,947.7897710779565,9.0,12.0,11.0,6.0,10.0,3.0,948.7897710779565,8.0,8.0,12.0,15.0,944.7897710779565,13.0,951.7897710779565,8.0,945.7897710779565,16.0,6.0,944.7897710779565,954.7897710779565,943.7897710779565,953.7897710779565,941.7897710779565,8.0,949.7897710779565,949.7897710779565,21.0,945.7897710779565,8.0,944.7897710779565,941.7897710779565,952.7897710779565
