sample_id,condition,batch,sex,age,tissue,timepoint
S001,control,B1,M,57.8,liver,T0
S002,treated,B2,F,56.4,liver,T0
S003,control,B1,F,57.6,liver,T0
S004,treated,B2,F,65.5,liver,T0
S005,treated,B1,F,57.7,liver,T0
S006,control,B2,F,63.1,liver,T0
S007,treated,B1,M,55.8,liver,T0
S008,treated,B2,F,58.5,liver,T0
S009,control,B1,M,62.6,liver,T0
S010,control,B2,M,37.5,liver,T0
S011,control,B1,M,51.2,liver,T0
S012,control,B2,M,49.4,liver,T0
S013,control,B1,F,47.3,liver,T0
S014,control,B2,M,51.7,liver,T0
S015,treated,B1,F,72.9,liver,T0
S016,control,B2,F,44.6,liver,T0
S017,control,B1,M,66.6,liver,T0
S018,control,B2,F,34.8,liver,T0
S019,control,B1,F,51.0,liver,T0
S020,treated,B2,F,57.0,liver,T0
S021,control,B1,M,62.0,liver,T0
S022,treated,B2,F,63.5,liver,T0
S023,control,B1,F,64.5,liver,T0
S024,treated,B2,F,50.8,liver,T0
S025,control,B1,M,49.5,liver,T0
S026,control,B2,F,65.3,liver,T0
S027,treated,B1,F,52.7,liver,T0
S028,treated,B2,F,39.7,liver,T0
S029,treated,B1,M,41.4,liver,T0
S030,treated,B2,M,44.0,liver,T0
S031,treated,B1,M,61.0,liver,T0
S032,control,B2,F,56.7,liver,T0
S033,treated,B1,F,63.3,liver,T0
S034,treated,B2,M,49.9,liver,T0
S035,control,B1,M,56.9,liver,T0
S036,treated,B2,M,62.5,liver,T0
S037,control,B1,F,51.3,liver,T0
S038,treated,B2,F,60.5,liver,T0
S039,treated,B1,M,47.1,liver,T0
S040,treated,B2,M,50.6,liver,T0
