protein_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040
PROT_0000,9.0,1499.2698031871676,11.0,1504.2698031871676,1499.2698031871676,10.0,1506.2698031871676,1499.2698031871676,9.0,6.0,17.0,6.0,11.0,3.0,1501.2698031871676,14.0,6.0,9.0,8.0,1502.2698031871676,3.0,1501.2698031871676,10.0,1509.2698031871676,8.0,21.0,1504.2698031871676,1508.2698031871676,1500.2698031871676,1506.2698031871676,1501.2698031871676,11.0,1503.2698031871676,1503.2698031871676,2.0,1503.2698031871676,10.0,1510.2698031871676,1506.2698031871676,1501.2698031871676
PROT_0001,1.0,660.6177353170117,1.0,664.6177353170117,661.6177353170117,2.0,661.6177353170117,663.6177353170117,7.0,2.0,5.0,10.0,2.0,1.0,659.6177353170117,2.0,4.0,8.0,11.0,659.6177353170117,4.0,662.6177353170117,3.0,662.6177353170117,6.0,2.0,661.6177353170117,661.6177353170117,660.6177353170117,668.6177353170117,662.6177353170117,0.0,663.6177353170117,664.6177353170117,4.0,664.6177353170117,5.0,670.6177353170117,658.6177353170117,661.6177353170117
PROT_0002,11.0,1610.0259125773732,16.0,1624.0259125773732,1608.0259125773732,10.0,1601.0259125773732,1615.0259125773732,5.0,6.0,9.0,8.0,14.0,9.0,1604.0259125773732,5.0,10.0,4.0,12.0,1614.0259125773732,11.0,1613.0259125773732,10.0,1606.0259125773732,8.0,19.0,1608.0259125773732,1608.0259125773732,1608.0259125773732,1607.0259125773732,1611.0259125773732,9.0,1611.0259125773732,1601.0259125773732,6.0,1608.0259125773732,8.0,1614.0259125773732,1607.0259125773732,1611.0259125773732
PROT_0003,13.0,2007.7878782313849,18.0,2009.7878782313849,2009.7878782313849,10.0,2004.7878782313849,2013.7878782313849,15.0,15.0,13.0,18.0,17.0,18.0,2011.7878782313849,23.0,26.0,15.0,10.0,2008.7878782313849,9.0,2017.7878782313849,9.0,2015.7878782313849,16.0,10.0,2013.7878782313849,2001.7878782313849,2027.7878782313849,2012.7878782313849,2017.7878782313849,16.0,2014.7878782313849,2013.7878782313849,19.0,2011.7878782313849,11.0,2003.7878782313849,2012.7878782313849,2009.7878782313849
PROT_0004,17.0,1972.8841790302858,11.0,1965.8841790302858,1974.8841790302858,16.0,1971.8841790302858,1971.8841790302858,12.0,5.0,10.0,15.0,15.0,14.0,1966.8841790302858,7.0,13.0,23.0,11.0,1969.8841790302858,14.0,1979.8841790302858,22.0,1973.8841790302858,11.0,16.0,1975.8841790302858,1971.8841790302858,1980.8841790302858,1975.8841790302858,1975.8841790302858,9.0,1987.8841790302858,1971.8841790302858,11.0,1973.8841790302858,12.0,1968.8841790302858,1971.8841790302858,1978.8841790302858
PROT_0005,5.0,1235.271911977713,9.0,1240.271911977713,1247.271911977713,7.0,1237.271911977713,1248.271911977713,10.0,7.0,4.0,8.0,1.0,3.0,1234.271911977713,12.0,8.0,6.0,10.0,1237.271911977713,10.0,1234.271911977713,18.0,1234.271911977713,6.0,8.0,1235.271911977713,1236.271911977713,1238.271911977713,1238.271911977713,1239.271911977713,5.0,1240.271911977713,1239.271911977713,3.0,1235.271911977713,11.0,1243.271911977713,1237.271911977713,1241.271911977713
PROT_0006,2.0,1395.234225125576,9.0,1387.234225125576,1389.234225125576,3.0,1391.234225125576,1392.234225125576,8.0,11.0,16.0,6.0,6.0,4.0,1390.234225125576,13.0,15.0,17.0,8.0,1397.234225125576,6.0,1385.234225125576,5.0,1390.234225125576,10.0,12.0,1385.234225125576,1384.234225125576,1391.234225125576,1386.234225125576,1389.234225125576,7.0,1388.234225125576,1391.234225125576,12.0,1383.234225125576,6.0,1394.234225125576,1389.234225125576,1382.234225125576
PROT_0007,5.0,768.8837566004029,4.0,771.8837566004029,774.8837566004029,6.0,776.8837566004029,768.8837566004029,3.0,4.0,9.0,2.0,8.0,7.0,771.8837566004029,6.0,4.0,4.0,7.0,766.8837566004029,9.0,770.8837566004029,3.0,776.8837566004029,3.0,2.0,770.8837566004029,767.8837566004029,773.8837566004029,766.8837566004029,770.8837566004029,8.0,771.8837566004029,770.8837566004029,5.0,769.8837566004029,4.0,769.8837566004029,771.8837566004029,777.8837566004029
PROT_0008,18.0,1401.890688683905,12.0,1405.890688683905,1410.890688683905,4.0,1402.890688683905,1412.890688683905,9.0,9.0,8.0,9.0,7.0,7.0,1410.890688683905,7.0,5.0,4.0,8.0,1404.890688683905,12.0,1421.890688683905,9.0,1412.890688683905,11.0,11.0,1408.890688683905,1407.890688683905,1402.890688683905,1401.890688683905,1403.890688683905,10.0,1410.890688683905,1417.890688683905,10.0,1410.890688683905,6.0,1404.890688683905,1408.890688683905,1409.890688683905
PROT_0009,6.0,1021.7068808396127,8.0,1021.7068808396127,1016.7068808396127,2.0,1018.7068808396127,1023.7068808396127,6.0,10.0,10.0,9.0,9.0,11.0,1019.7068808396127,6.0,13.0,8.0,5.0,1020.7068808396127,6.0,1014.7068808396127,10.0,1025.7068808396127,7.0,10.0,1015.7068808396127,1020.7068808396127,1018.7068808396127,1016.7068808396127,1019.7068808396127,4.0,1022.7068808396127,1016.7068808396127,5.0,1016.7068808396127,3.0,1015.7068808396127,1022.7068808396127,1026.7068808396127
PROT_0010,9.0,936.7703848665479,13.0,941.7703848665479,943.7703848665479,5.0,943.7703848665479,948.7703848665479,8.0,8.0,5.0,0.0,12.0,5.0,936.7703848665479,8.0,14.0,6.0,8.0,938.7703848665479,1.0,943.7703848665479,10.0,946.7703848665479,5.0,5.0,942.7703848665479,943.7703848665479,940.7703848665479,942.7703848665479,939.7703848665479,5.0,942.7703848665479,956.7703848665479,1.0,948.7703848665479,9.0,939.7703848665479,942.7703848665479,937.7703848665479
PROT_0011,16.0,1996.8357562553492,16.0,2012.8357562553492,2000.8357562553492,32.0,2000.8357562553492,1999.8357562553492,9.0,8.0,10.0,20.0,8.0,23.0,2011.8357562553492,9.0,17.0,9.0,15.0,1997.8357562553492,15.0,2003.8357562553492,6.0,2000.8357562553492,12.0,20.0,2000.8357562553492,1996.8357562553492,2005.8357562553492,2007.8357562553492,1997.8357562553492,17.0,2007.8357562553492,1998.8357562553492,7.0,1998.8357562553492,13.0,2009.8357562553492,2006.8357562553492,2001.8357562553492
PROT_0012,7.0,810.3127446240055,8.0,808.3127446240055,811.3127446240055,4.0,808.3127446240055,808.3127446240055,8.0,7.0,2.0,11.0,6.0,7.0,807.3127446240055,19.0,3.0,5.0,7.0,826.3127446240055,1.0,806.3127446240055,8.0,807.3127446240055,7.0,8.0,806.3127446240055,807.3127446240055,807.3127446240055,812.3127446240055,806.3127446240055,2.0,810.3127446240055,809.3127446240055,3.0,808.3127446240055,1.0,810.3127446240055,811.3127446240055,806.3127446240055
PROT_0013,10.0,1029.684086822875,17.0,1024.684086822875,1023.6840868228752,7.0,1025.684086822875,1024.684086822875,13.0,1.0,6.0,5.0,3.0,6.0,1023.6840868228752,6.0,9.0,5.0,3.0,1024.684086822875,8.0,1020.6840868228752,9.0,1029.684086822875,4.0,7.0,1021.6840868228752,1026.684086822875,1016.6840868228752,1021.6840868228752,1022.6840868228752,2.0,1034.684086822875,1019.6840868228752,13.0,1025.684086822875,13.0,1021.6840868228752,1020.6840868228752,1020.6840868228752
PROT_0014,7.0,1329.1365926378573,7.0,1337.1365926378573,1328.1365926378573,8.0,1329.1365926378573,1331.1365926378573,4.0,5.0,8.0,9.0,9.0,2.0,1335.1365926378573,8.0,8.0,17.0,7.0,1326.1365926378573,13.0,1331.1365926378573,10.0,1329.1365926378573,8.0,11.0,1327.1365926378573,1330.1365926378573,1335.1365926378573,1329.1365926378573,1326.1365926378573,12.0,1334.1365926378573,1334.1365926378573,9.0,1328.1365926378573,18.0,1331.1365926378573,1328.1365926378573,1333.1365926378573
PROT_0015,17.0,1911.8809663871043,13.0,1898.8809663871043,1912.8809663871043,4.0,1913.8809663871043,1906.8809663871043,13.0,12.0,15.0,10.0,16.0,23.0,1907.8809663871043,12.0,8.0,13.0,10.0,1905.8809663871043,19.0,1901.8809663871043,12.0,1903.8809663871043,7.0,19.0,1903.8809663871043,1918.8809663871043,1910.8809663871043,1903.8809663871043,1912.8809663871043,10.0,1904.8809663871043,1909.8809663871043,14.0,1904.8809663871043,7.0,1905.8809663871043,1904.8809663871043,1908.8809663871043
PROT_0016,0.0,671.7097626168885,4.0,667.7097626168885,669.7097626168885,3.0,671.7097626168885,671.7097626168885,5.0,3.0,7.0,4.0,4.0,4.0,670.7097626168885,5.0,1.0,4.0,0.0,677.7097626168885,11.0,667.7097626168885,5.0,670.7097626168885,2.0,3.0,673.7097626168885,670.7097626168885,678.7097626168885,673.7097626168885,670.7097626168885,11.0,668.7097626168885,672.7097626168885,2.0,671.7097626168885,8.0,673.7097626168885,674.7097626168885,668.7097626168885
PROT_0017,16.0,1995.9277526524352,13.0,2000.9277526524352,1999.9277526524352,13.0,1994.9277526524352,2006.9277526524352,11.0,11.0,19.0,7.0,13.0,15.0,2013.9277526524352,12.0,10.0,5.0,18.0,1995.9277526524352,16.0,1997.9277526524352,21.0,2002.9277526524352,14.0,17.0,2013.9277526524352,2002.9277526524352,2001.9277526524352,2005.9277526524352,2010.9277526524352,18.0,1999.9277526524352,2003.9277526524352,20.0,2007.9277526524352,21.0,2002.9277526524352,1998.9277526524352,2007.9277526524352
PROT_0018,17.0,1827.937894008001,20.0,1824.937894008001,1834.937894008001,7.0,1822.937894008001,1825.937894008001,12.0,20.0,14.0,15.0,10.0,9.0,1827.937894008001,9.0,12.0,16.0,7.0,1831.937894008001,29.0,1825.937894008001,14.0,1827.937894008001,18.0,7.0,1831.937894008001,1828.937894008001,1830.937894008001,1829.937894008001,1832.937894008001,9.0,1831.937894008001,1831.937894008001,16.0,1830.937894008001,12.0,1831.937894008001,1818.937894008001,1833.937894008001
PROT_0019,7.0,1186.2588679085725,7.0,1190.2588679085725,1193.2588679085725,12.0,1188.2588679085725,1191.2588679085725,13.0,3.0,8.0,14.0,9.0,6.0,1187.2588679085725,10.0,7.0,3.0,6.0,1202.2588679085725,8.0,1191.2588679085725,4.0,1201.2588679085725,5.0,6.0,1192.2588679085725,1191.2588679085725,1193.2588679085725,1201.2588679085725,1189.2588679085725,6.0,1188.2588679085725,1192.2588679085725,11.0,1191.2588679085725,7.0,1194.2588679085725,1190.2588679085725,1199.2588679085725
PROT_0020,10.0,13.0,9.0,9.0,5.0,9.0,13.0,13.0,10.0,11.0,10.0,12.0,18.0,11.0,6.0,8.0,19.0,8.0,16.0,8.0,9.0,9.0,6.0,11.0,9.0,6.0,14.0,17.0,10.0,12.0,14.0,12.0,6.0,11.0,9.0,9.0,14.0,9.0,12.0,18.0
PROT_0021,2.0,7.0,5.0,9.0,8.0,11.0,5.0,12.0,13.0,9.0,9.0,13.0,8.0,3.0,12.0,13.0,14.0,16.0,8.0,4.0,11.0,12.0,6.0,11.0,15.0,11.0,13.0,9.0,10.0,10.0,10.0,17.0,8.0,12.0,7.0,10.0,8.0,12.0,11.0,11.0
PROT_0022,5.0,9.0,9.0,8.0,8.0,1.0,4.0,1.0,1.0,6.0,6.0,3.0,4.0,14.0,5.0,7.0,2.0,12.0,8.0,5.0,10.0,7.0,10.0,3.0,7.0,6.0,8.0,5.0,6.0,10.0,10.0,8.0,3.0,4.0,8.0,12.0,5.0,4.0,7.0,14.0
PROT_0023,4.0,10.0,10.0,6.0,11.0,10.0,16.0,8.0,9.0,13.0,14.0,4.0,12.0,14.0,5.0,7.0,10.0,15.0,10.0,8.0,13.0,17.0,10.0,13.0,11.0,14.0,10.0,18.0,17.0,10.0,8.0,11.0,14.0,14.0,11.0,13.0,12.0,11.0,13.0,14.0
PROT_0024,6.0,12.0,3.0,6.0,6.0,5.0,2.0,7.0,8.0,10.0,6.0,11.0,12.0,1.0,14.0,2.0,9.0,14.0,12.0,11.0,5.0,4.0,18.0,10.0,10.0,7.0,4.0,10.0,6.0,9.0,6.0,12.0,10.0,4.0,14.0,9.0,2.0,6.0,6.0,3.0
PROT_0025,7.0,0.0,1.0,7.0,9.0,5.0,7.0,6.0,3.0,10.0,5.0,2.0,6.0,1.0,2.0,5.0,4.0,3.0,3.0,5.0,1.0,6.0,4.0,4.0,3.0,4.0,8.0,3.0,3.0,13.0,3.0,6.0,2.0,9.0,0.0,4.0,6.0,2.0,1.0,4.0
PROT_0026,8.0,9.0,7.0,11.0,9.0,2.0,4.0,9.0,12.0,10.0,9.0,7.0,15.0,12.0,8.0,8.0,6.0,6.0,5.0,12.0,2.0,7.0,8.0,3.0,7.0,8.0,11.0,7.0,3.0,2.0,16.0,6.0,4.0,8.0,15.0,4.0,6.0,5.0,14.0,6.0
PROT_0027,8.0,3.0,7.0,0.0,7.0,7.0,7.0,7.0,2.0,5.0,4.0,6.0,1.0,1.0,2.0,2.0,3.0,7.0,2.0,5.0,3.0,2.0,5.0,5.0,5.0,13.0,0.0,10.0,3.0,4.0,2.0,3.0,8.0,0.0,3.0,6.0,3.0,1.0,4.0,5.0
PROT_0028,7.0,4.0,7.0,6.0,7.0,8.0,9.0,11.0,14.0,7.0,9.0,6.0,7.0,12.0,2.0,9.0,10.0,5.0,7.0,7.0,2.0,5.0,7.0,16.0,20.0,13.0,12.0,5.0,3.0,7.0,3.0,4.0,15.0,10.0,10.0,4.0,14.0,1.0,6.0,11.0
PROT_0029,8.0,9.0,9.0,8.0,5.0,9.0,9.0,13.0,7.0,11.0,9.0,5.0,10.0,6.0,9.0,8.0,13.0,7.0,5.0,11.0,5.0,5.0,15.0,11.0,11.0,7.0,7.0,8.0,5.0,7.0,9.0,9.0,4.0,15.0,9.0,5.0,18.0,4.0,12.0,8.0
PROT_0030,9.0,10.0,6.0,12.0,19.0,20.0,10.0,16.0,16.0,19.0,7.0,18.0,9.0,14.0,15.0,20.0,26.0,10.0,8.0,16.0,27.0,10.0,15.0,26.0,17.0,15.0,13.0,14.0,10.0,9.0,10.0,13.0,7.0,6.0,13.0,23.0,15.0,13.0,7.0,14.0
PROT_0031,10.0,10.0,10.0,8.0,10.0,8.0,10.0,7.0,7.0,1.0,18.0,7.0,7.0,9.0,16.0,13.0,11.0,11.0,5.0,7.0,23.0,22.0,20.0,14.0,7.0,16.0,13.0,11.0,19.0,8.0,5.0,11.0,11.0,7.0,6.0,11.0,12.0,11.0,5.0,7.0
PROT_0032,10.0,8.0,9.0,12.0,7.0,19.0,9.0,14.0,10.0,10.0,15.0,9.0,7.0,6.0,9.0,5.0,9.0,9.0,7.0,15.0,24.0,10.0,9.0,14.0,9.0,14.0,20.0,10.0,11.0,4.0,20.0,8.0,10.0,10.0,9.0,8.0,11.0,7.0,12.0,5.0
PROT_0033,10.0,4.0,4.0,8.0,5.0,8.0,9.0,5.0,9.0,8.0,6.0,1.0,8.0,14.0,3.0,5.0,3.0,7.0,4.0,4.0,11.0,3.0,7.0,8.0,8.0,2.0,6.0,5.0,4.0,3.0,9.0,11.0,4.0,11.0,7.0,6.0,4.0,2.0,5.0,3.0
