gene_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040
GENE_0000,0.0,193.5215373490388,1.0,191.5215373490388,195.5215373490388,1.0,191.5215373490388,191.5215373490388,2.0,5.0,1.0,7.0,3.0,3.0,193.5215373490388,4.0,6.0,3.0,8.0,192.5215373490388,4.0,193.5215373490388,2.0,191.5215373490388,5.0,8.0,192.5215373490388,190.5215373490388,190.5215373490388,194.5215373490388,190.5215373490388,4.0,190.5215373490388,192.5215373490388,0.0,198.5215373490388,3.0,191.5215373490388,190.5215373490388,194.5215373490388
GENE_0001,15.0,396.9456554235015,19.0,396.9456554235015,399.9456554235015,10.0,398.9456554235015,401.9456554235015,15.0,3.0,2.0,3.0,3.0,9.0,396.9456554235015,4.0,4.0,9.0,4.0,395.9456554235015,8.0,397.9456554235015,4.0,393.9456554235015,1.0,8.0,398.9456554235015,395.9456554235015,394.9456554235015,399.9456554235015,399.9456554235015,4.0,393.9456554235015,404.9456554235015,9.0,397.9456554235015,4.0,395.9456554235015,391.9456554235015,396.9456554235015
GENE_0002,5.0,540.0051020148269,4.0,544.0051020148269,555.0051020148269,9.0,550.0051020148269,549.0051020148269,1.0,3.0,5.0,11.0,15.0,12.0,554.0051020148269,2.0,5.0,2.0,14.0,544.0051020148269,8.0,538.0051020148269,10.0,541.0051020148269,16.0,8.0,541.0051020148269,553.0051020148269,541.0051020148269,538.0051020148269,548.0051020148269,20.0,539.0051020148269,537.0051020148269,4.0,539.0051020148269,7.0,537.0051020148269,549.0051020148269,540.0051020148269
GENE_0003,2.0,275.04291501808996,5.0,273.04291501808996,273.04291501808996,5.0,274.04291501808996,273.04291501808996,1.0,6.0,3.0,4.0,11.0,3.0,275.04291501808996,6.0,6.0,10.0,4.0,273.04291501808996,4.0,271.04291501808996,7.0,275.04291501808996,3.0,9.0,271.04291501808996,274.04291501808996,273.04291501808996,277.04291501808996,274.04291501808996,8.0,270.04291501808996,274.04291501808996,4.0,276.04291501808996,6.0,271.04291501808996,281.04291501808996,270.04291501808996
GENE_0004,2.0,202.89689714994458,7.0,203.89689714994458,210.89689714994458,5.0,202.89689714994458,205.89689714994458,3.0,1.0,2.0,4.0,4.0,1.0,207.89689714994458,3.0,4.0,2.0,5.0,204.89689714994458,1.0,202.89689714994458,1.0,209.89689714994458,7.0,7.0,203.89689714994458,201.89689714994458,207.89689714994458,204.89689714994458,206.89689714994458,11.0,202.89689714994458,206.89689714994458,1.0,215.89689714994458,5.0,206.89689714994458,209.89689714994458,203.89689714994458
GENE_0005,7.0,367.50539579341745,11.0,367.50539579341745,368.50539579341745,7.0,371.50539579341745,370.50539579341745,9.0,4.0,5.0,1.0,9.0,9.0,370.50539579341745,8.0,6.0,2.0,5.0,377.50539579341745,11.0,368.50539579341745,4.0,372.50539579341745,10.0,7.0,367.50539579341745,373.50539579341745,368.50539579341745,374.50539579341745,371.50539579341745,6.0,369.50539579341745,371.50539579341745,12.0,369.50539579341745,4.0,374.50539579341745,377.50539579341745,381.50539579341745
GENE_0006,3.0,278.1087253252626,3.0,273.1087253252626,272.1087253252626,3.0,278.1087253252626,273.1087253252626,3.0,4.0,4.0,6.0,1.0,9.0,280.1087253252626,3.0,3.0,4.0,3.0,275.1087253252626,4.0,274.1087253252626,4.0,278.1087253252626,2.0,6.0,278.1087253252626,276.1087253252626,275.1087253252626,278.1087253252626,273.1087253252626,8.0,274.1087253252626,271.1087253252626,3.0,280.1087253252626,7.0,275.1087253252626,273.1087253252626,278.1087253252626
GENE_0007,10.0,381.20569615823,2.0,384.20569615823,385.20569615823,4.0,384.20569615823,378.20569615823,9.0,4.0,9.0,12.0,1.0,6.0,377.20569615823,11.0,5.0,1.0,0.0,381.20569615823,4.0,379.20569615823,8.0,386.20569615823,6.0,4.0,382.20569615823,387.20569615823,384.20569615823,381.20569615823,379.20569615823,9.0,381.20569615823,384.20569615823,9.0,381.20569615823,13.0,380.20569615823,377.20569615823,381.20569615823
GENE_0008,9.0,460.35673040204904,11.0,474.35673040204904,464.35673040204904,9.0,471.35673040204904,459.35673040204904,8.0,3.0,6.0,6.0,9.0,8.0,465.35673040204904,8.0,15.0,6.0,6.0,463.35673040204904,9.0,462.35673040204904,9.0,470.35673040204904,11.0,4.0,462.35673040204904,465.35673040204904,460.35673040204904,465.35673040204904,466.35673040204904,4.0,462.35673040204904,465.35673040204904,5.0,465.35673040204904,7.0,469.35673040204904,461.35673040204904,461.35673040204904
GENE_0009,8.0,348.09322668210604,6.0,345.09322668210604,348.09322668210604,6.0,353.09322668210604,350.09322668210604,5.0,4.0,5.0,1.0,9.0,7.0,354.09322668210604,3.0,5.0,9.0,1.0,351.09322668210604,4.0,354.09322668210604,4.0,357.09322668210604,2.0,6.0,355.09322668210604,352.09322668210604,349.09322668210604,351.09322668210604,351.09322668210604,3.0,352.09322668210604,351.09322668210604,4.0,345.09322668210604,2.0,347.09322668210604,353.09322668210604,348.09322668210604
